itemNo,material,currency,price,quantity,action,activityType,baseUnit,businessArea,componentId,costCenter,costElement,costEstNo,costingDate,costingType,costingVersion,currencyTypeCode,errMsg,fixValue,fixedValue,itemCategory,ledger,materialCompositeKey,materialDesc,materialSpecProcTypeCosting,mixedCosting,mixingRatio,operation,parentMaterial,parentMaterialCompositeKey,parentMaterialSpecProcTypeCosting,parentPlant,plant,priceUnit,processCategory,procurementAlternative,profitCenter,purcDocNum,purcItemNo,referenceObject,selectionIdType,srcSys,supplier,totalValue,tranSelectionId,transfCostEstNo,transfCostingDate,transfCostingType,transfCostingVersion,transfValuationVariant,transferStrategy,valuationStrategy,valuationVariant,workCenter,reportType
CC014,Radiator (Supplier N),EUR,260.00,1,Purchase,Cooling System,EA,Automotive,RAD_001N,CC302,EL511,CE20240718,2024-07-18,Standard,V1.0,EUR,,,,,Parts,GL109,CC014_COMP,Radiator from Supplier N,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,260.00,Cooling Assy,Supplier Quote,PC72,PO12428,840,,Parts,SAP,SupplierN,260.00,TID_096,TCE_096,2024-07-18,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
MB061,Brake Fluid Reservoir,EUR,30.00,1,Purchase,Braking System,EA,Automotive,BFR_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,MB061_COMP,Brake Fluid Reservoir,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,30.00,Brake Assy,Supplier Procure,PC69,PO12429,850,,Parts,SAP,ATE,30.00,TID_097,TCE_097,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB062,Brake Light Switch,USD,20.00,1,Purchase,Electrical,EA,Automotive,BLS_A,CC105,EL507,CE20240714,2024-07-14,Standard,V1.0,USD,,,,,Parts,GL105,MB062_COMP,Brake Light Switch,Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantF,P600,20.00,Electrical Assy,Supplier Procure,PC55,PO12430,860,,Parts,SAP,Bosch,20.00,TID_098,TCE_098,2024-07-14,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Electrical,GENERAL_COSTING
MB063,Wiper Motor,EUR,110.00,1,Purchase,Body,EA,Automotive,WM_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,MB063_COMP,Wiper Motor Assembly,Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,110.00,Body Assy,Supplier Procure,PC53,PO12431,870,,Parts,SAP,Bosch,110.00,TID_099,TCE_099,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,GENERAL_COSTING
MB064,Heater Control Valve,USD,70.00,1,Purchase,HVAC,EA,Automotive,HCV_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB064_COMP,Heater Control Valve,Direct Procure,False,0.0,Buy,MB_HVAC,MB_HVAC_COMP,,PlantE,P500,70.00,HVAC Assy,Supplier Procure,PC66,PO12432,880,,Parts,SAP,Behr,70.00,TID_100,TCE_100,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,HVACShop,GENERAL_COSTING
MB065,Brake Vacuum Pump,EUR,280.00,1,Purchase,Braking System,EA,Automotive,BVP_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,MB065_COMP,Brake Vacuum Pump,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,280.00,Brake Assy,Supplier Procure,PC69,PO12433,890,,Parts,SAP,Bosch,280.00,TID_101,TCE_101,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB066,ABS Sensor (Rear Left),USD,60.00,1,Purchase,Braking System,EA,Automotive,ABS_RL_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,USD,,,,,Parts,GL117,MB066_COMP,Rear Left ABS Sensor,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,60.00,Brake Assy,Supplier Procure,PC69,PO12434,900,,Parts,SAP,Bosch,60.00,TID_102,TCE_102,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB067,Suspension Spring (Rear),EUR,90.00,1,Purchase,Suspension,EA,Automotive,SS_R_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB067_COMP,Rear Suspension Spring,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,90.00,Suspension Assy,Supplier Procure,PC57,PO12435,910,,Parts,SAP,Lesjofors,90.00,TID_103,TCE_103,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB068,Wheel Hub Bearing (Front),USD,150.00,1,Purchase,Wheels,EA,Automotive,WHB_F_A,CC118,EL522,CE20240729,2024-07-29,Standard,V1.0,USD,,,,,Parts,GL118,MB068_COMP,Front Wheel Hub Bearing,Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,150.00,Wheel Assy,Supplier Procure,PC70,PO12436,920,,Parts,SAP,SKF,150.00,TID_104,TCE_104,2024-07-29,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,GENERAL_COSTING
MB069,CV Joint (Outer),EUR,120.00,1,Purchase,Drivetrain,EA,Automotive,CVJO_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB069_COMP,Outer CV Joint,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,120.00,Drivetrain Assy,Supplier Procure,PC61,PO12437,930,,Parts,SAP,GKN,120.00,TID_105,TCE_105,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB070,Transmission Solenoid,USD,90.00,1,Purchase,Transmission,EA,Automotive,TS_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,USD,,,,,Parts,GL115,MB070_COMP,Transmission Solenoid,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,90.00,Transmission Assy,Supplier Procure,PC65,PO12438,940,,Parts,SAP,Bosch,90.00,TID_106,TCE_106,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
PU015,Seat Assembly (Front Right),EUR,700.00,1,Manufacture,Interior,EA,Interior Prod,SA_FR_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU015_COMP,"Used in Mercedes E-Class (W213), S-Class (W222)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,700.00,Final Assy,Internal Mfg,PC67,,,,,SAP,700.00,TID_107,TCE_107,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU016,Steering Wheel,USD,400.00,1,Manufacture,Interior,EA,Interior Prod,SW_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,USD,,,,,Assembly,GL203,PU016_COMP,"Used in Mercedes C-Class (W205), GLC (X253)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,400.00,Final Assy,Internal Mfg,PC67,,,,,SAP,400.00,TID_108,TCE_108,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
SP015,Grille Assembly,EUR,250.00,1,Purchase,Body,EA,Automotive,GA_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,SP015_COMP,"Similar to Bumper Grille, Radiator Grille",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,250.00,Body Assy,Supplier Procure,PC53,PO12439,950,,Parts,SAP,Magna,250.00,TID_109,TCE_109,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
SP016,Tail Light Assembly,USD,180.00,1,Purchase,Lighting,EA,Automotive,TLA_B,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,SP016_COMP,"Similar to Brake Light, Reverse Light",Direct Procure,False,0.0,Buy,MB_LIGHT,MB_LIGHT_COMP,,PlantD,P400,180.00,Lighting Assy,Supplier Procure,PC53,PO12440,960,,Parts,SAP,Hella,180.00,TID_110,TCE_110,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,LightingAssy,SIMILAR_PARTS
CC015,Fuel Pump (Supplier O),EUR,200.00,1,Purchase,Fuel System,EA,Automotive,FP_001O,CC301,EL506,CE20240713,2024-07-13,Standard,V1.0,EUR,,,,,Parts,GL104,CC015_COMP,Fuel Pump from Supplier O,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,200.00,Fuel Assy,Supplier Quote,PC71,PO12441,970,,Parts,SAP,SupplierO,200.00,TID_111,TCE_111,2024-07-13,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,FuelLine,COST_COMPARISON
CC016,Fuel Pump (Supplier P),EUR,220.00,1,Purchase,Fuel System,EA,Automotive,FP_001P,CC301,EL506,CE20240713,2024-07-13,Standard,V1.0,EUR,,,,,Parts,GL104,CC016_COMP,Fuel Pump from Supplier P,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,220.00,Fuel Assy,Supplier Quote,PC71,PO12442,980,,Parts,SAP,SupplierP,220.00,TID_112,TCE_112,2024-07-13,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,FuelLine,COST_COMPARISON
MB071,Brake Caliper (Rear),EUR,150.00,1,Purchase,Braking System,EA,Automotive,BC_R_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,MB071_COMP,Rear Brake Caliper,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,150.00,Brake Assy,Supplier Procure,PC69,PO12443,990,,Parts,SAP,ATE,150.00,TID_113,TCE_113,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB072,Parking Brake Actuator,USD,300.00,1,Purchase,Braking System,EA,Automotive,PBA_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,USD,,,,,Parts,GL117,MB072_COMP,Parking Brake Actuator,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,300.00,Brake Assy,Supplier Procure,PC69,PO12444,1000,,Parts,SAP,TRW,300.00,TID_114,TCE_114,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB073,Suspension Control Module,EUR,400.00,1,Purchase,Suspension,EA,Automotive,SCM_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB073_COMP,Suspension Control Module,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,400.00,Suspension Assy,Supplier Procure,PC57,PO12445,1010,,Parts,SAP,Continental,400.00,TID_115,TCE_115,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB074,Wheel Speed Sensor (Rear Right),USD,70.00,1,Purchase,Braking System,EA,Automotive,WSS_RR_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,USD,,,,,Parts,GL117,MB074_COMP,Rear Right Wheel Speed Sensor,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,70.00,Brake Assy,Supplier Procure,PC69,PO12446,1020,,Parts,SAP,Bosch,70.00,TID_116,TCE_116,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,GENERAL_COSTING
MB075,Steering Angle Sensor,EUR,150.00,1,Purchase,Steering System,EA,Automotive,SAS_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,EUR,,,,,Parts,GL110,MB075_COMP,Steering Angle Sensor,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,150.00,Steering Assy,Supplier Procure,PC60,PO12447,1030,,Parts,SAP,Bosch,150.00,TID_117,TCE_117,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB076,Steering Column,USD,400.00,1,Purchase,Steering System,EA,Automotive,SC_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,USD,,,,,Parts,GL110,MB076_COMP,Steering Column Assembly,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,400.00,Steering Assy,Supplier Procure,PC60,PO12448,1040,,Parts,SAP,ZF,400.00,TID_118,TCE_118,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB077,Power Steering Reservoir,EUR,50.00,1,Purchase,Steering System,EA,Automotive,PSR_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,EUR,,,,,Parts,GL110,MB077_COMP,Power Steering Reservoir,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,50.00,Steering Assy,Supplier Procure,PC60,PO12449,1050,,Parts,SAP,Febi,50.00,TID_119,TCE_119,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB078,Drive Belt,USD,35.00,1,Purchase,Engine Parts,EA,Automotive,DB_A,CC114,EL516,CE20240723,2024-07-23,Standard,V1.0,USD,,,,,Parts,GL114,MB078_COMP,Engine Drive Belt,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,35.00,Engine Assy,Supplier Procure,PC64,PO12450,1060,,Parts,SAP,ContiTech,35.00,TID_120,TCE_120,2024-07-23,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB079,Idler Pulley,EUR,25.00,1,Purchase,Engine Parts,EA,Automotive,IP_A,CC114,EL516,CE20240723,2024-07-23,Standard,V1.0,EUR,,,,,Parts,GL114,MB079_COMP,Idler Pulley,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,25.00,Engine Assy,Supplier Procure,PC64,PO12451,1070,,Parts,SAP,INA,25.00,TID_121,TCE_121,2024-07-23,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB080,Tensioner Pulley,USD,40.00,1,Purchase,Engine Parts,EA,Automotive,TP_A,CC114,EL516,CE20240723,2024-07-23,Standard,V1.0,USD,,,,,Parts,GL114,MB080_COMP,Tensioner Pulley,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,40.00,Engine Assy,Supplier Procure,PC64,PO12452,1080,,Parts,SAP,INA,40.00,TID_122,TCE_122,2024-07-23,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
PU017,Rear Seat Assembly,EUR,900.00,1,Manufacture,Interior,EA,Interior Prod,RSA_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU017_COMP,"Used in Mercedes E-Class (W213), S-Class (W222)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,900.00,Final Assy,Internal Mfg,PC67,,,,,SAP,900.00,TID_123,TCE_123,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU018,Climate Control Unit,USD,500.00,1,Manufacture,HVAC,EA,Electronics,CCU_A,CC202,EL511,CE20240718,2024-07-18,Production,V1.0,USD,,,,,Assembly,GL202,PU018_COMP,"Used in Mercedes C-Class (W205), GLC (X253)",Internal Procure,False,0.0,Produce,MB_HVAC,MB_HVAC_COMP,,PlantB,P200,500.00,Final Assy,Internal Mfg,PC62,,,,,SAP,500.00,TID_124,TCE_124,2024-07-18,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,Electronics,PARTS_USAGE
SP017,Door Panel (Front Left),EUR,180.00,1,Purchase,Body,EA,Automotive,DP_FL_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,SP017_COMP,"Similar to Door Panel (Front Right), Door Trim",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,180.00,Body Assy,Supplier Procure,PC53,PO12453,1090,,Parts,SAP,Magna,180.00,TID_125,TCE_125,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
SP018,Rearview Mirror,USD,100.00,1,Purchase,Interior,EA,Automotive,RM_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,SP018_COMP,"Similar to Side Mirror, Auto-Dimming Mirror",Direct Procure,False,0.0,Buy,MB_INT,MB_INT_COMP,,PlantD,P400,100.00,Interior Assy,Supplier Procure,PC53,PO12454,1100,,Parts,SAP,Gentex,100.00,TID_126,TCE_126,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,InteriorShop,SIMILAR_PARTS
CC017,Thermostat (Supplier Q),EUR,50.00,1,Purchase,Cooling System,EA,Automotive,TH_001Q,CC302,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,CC017_COMP,Thermostat from Supplier Q,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,50.00,Cooling Assy,Supplier Quote,PC72,PO12455,1110,,Parts,SAP,SupplierQ,50.00,TID_127,TCE_127,2024-07-15,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
CC018,Thermostat (Supplier R),EUR,60.00,1,Purchase,Cooling System,EA,Automotive,TH_001R,CC302,EL508,CE20240715,2024-07-15,Standard,V1.0,EUR,,,,,Parts,GL106,CC018_COMP,Thermostat from Supplier R,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,60.00,Cooling Assy,Supplier Quote,PC72,PO12456,1120,,Parts,SAP,SupplierR,60.00,TID_128,TCE_128,2024-07-15,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,Cooling,COST_COMPARISON
MB081,Fuel Cap,EUR,25.00,1,Purchase,Fuel System,EA,Automotive,FC_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,EUR,,,,,Parts,GL116,MB081_COMP,Fuel Cap,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,25.00,Fuel Assy,Supplier Procure,PC66,PO12457,1130,,Parts,SAP,Stant,25.00,TID_129,TCE_129,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB082,Engine Mount (Right),USD,80.00,1,Purchase,Engine Parts,EA,Automotive,EM_R_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB082_COMP,Right Engine Mount,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,80.00,Engine Assy,Supplier Procure,PC63,PO12458,1140,,Parts,SAP,Corteco,80.00,TID_130,TCE_130,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB083,Transmission Mount (Rear),EUR,90.00,1,Purchase,Transmission,EA,Automotive,TM_R_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,EUR,,,,,Parts,GL115,MB083_COMP,Rear Transmission Mount,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,90.00,Transmission Assy,Supplier Procure,PC65,PO12459,1150,,Parts,SAP,Corteco,90.00,TID_131,TCE_131,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
MB084,Shock Absorber (Front),USD,130.00,1,Purchase,Suspension,EA,Automotive,SA_F_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,USD,,,,,Parts,GL107,MB084_COMP,Front Shock Absorber,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,130.00,Suspension Assy,Supplier Procure,PC57,PO12460,1160,,Parts,SAP,Sachs,130.00,TID_132,TCE_132,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB085,Control Arm (Front Left),EUR,170.00,1,Purchase,Suspension,EA,Automotive,CA_FL_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB085_COMP,Front Left Control Arm,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,170.00,Suspension Assy,Supplier Procure,PC57,PO12461,1170,,Parts,SAP,Lemforder,170.00,TID_133,TCE_133,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB086,Tie Rod End (Left),USD,45.00,1,Purchase,Steering System,EA,Automotive,TRE_L_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,USD,,,,,Parts,GL110,MB086_COMP,Left Tie Rod End,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,45.00,Steering Assy,Supplier Procure,PC60,PO12462,1180,,Parts,SAP,Lemforder,45.00,TID_134,TCE_134,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB087,Ball Joint (Lower),EUR,60.00,1,Purchase,Suspension,EA,Automotive,BJ_L_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB087_COMP,Lower Ball Joint,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,60.00,Suspension Assy,Supplier Procure,PC57,PO12463,1190,,Parts,SAP,Lemforder,60.00,TID_135,TCE_135,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB088,Wheel Hub (Front),USD,100.00,1,Purchase,Wheels,EA,Automotive,WH_F_A,CC118,EL522,CE20240729,2024-07-29,Standard,V1.0,USD,,,,,Parts,GL118,MB088_COMP,Front Wheel Hub,Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,100.00,Wheel Assy,Supplier Procure,PC70,PO12464,1200,,Parts,SAP,FAG,100.00,TID_136,TCE_136,2024-07-29,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,GENERAL_COSTING
MB089,CV Boot Kit (Inner),EUR,30.00,1,Purchase,Drivetrain,EA,Automotive,CVBI_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB089_COMP,Inner CV Boot Kit,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,30.00,Drivetrain Assy,Supplier Procure,PC61,PO12465,1210,,Parts,SAP,GKN,30.00,TID_137,TCE_137,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB090,Transmission Fluid Pan,USD,80.00,1,Purchase,Transmission,EA,Automotive,TFP_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,USD,,,,,Parts,GL115,MB090_COMP,Transmission Fluid Pan,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,80.00,Transmission Assy,Supplier Procure,PC65,PO12466,1220,,Parts,SAP,Febi,80.00,TID_138,TCE_138,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
PU019,Rearview Mirror Assembly,EUR,250.00,1,Manufacture,Interior,EA,Interior Prod,RMA_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU019_COMP,"Used in Mercedes C-Class (W205), E-Class (W213)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,250.00,Final Assy,Internal Mfg,PC67,,,,,SAP,250.00,TID_139,TCE_139,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU020,Glove Box Assembly,USD,150.00,1,Manufacture,Interior,EA,Interior Prod,GBA_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,USD,,,,,Assembly,GL203,PU020_COMP,"Used in Mercedes GLC (X253), C-Class (W205)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,150.00,Final Assy,Internal Mfg,PC67,,,,,SAP,150.00,TID_140,TCE_140,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
SP019,Door Lock Cylinder,EUR,60.00,1,Purchase,Body,EA,Automotive,DLC_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,SP019_COMP,"Similar to Ignition Lock Cylinder, Trunk Lock Cylinder",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,60.00,Body Assy,Supplier Procure,PC53,PO12467,1230,,Parts,SAP,Huf,60.00,TID_141,TCE_141,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
SP020,Trunk Strut,USD,40.00,1,Purchase,Body,EA,Automotive,TS_B,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,SP020_COMP,"Similar to Hood Strut, Tailgate Strut",Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,40.00,Body Assy,Supplier Procure,PC53,PO12468,1240,,Parts,SAP,Stabilus,40.00,TID_142,TCE_142,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,SIMILAR_PARTS
CC019,Mass Air Flow Sensor (Supplier S),EUR,110.00,1,Purchase,Engine Management,EA,Automotive,MAF_001S,CC302,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,CC019_COMP,Mass Air Flow Sensor from Supplier S,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,110.00,Engine Assy,Supplier Quote,PC72,PO12469,1250,,Parts,SAP,SupplierS,110.00,TID_143,TCE_143,2024-07-22,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,EngineShop,COST_COMPARISON
